title,img_url,director,starring,years,location,rating,reviews,genre
沉默的羔羊  / The Silence of the Lambs,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1593414327.webp,乔纳森·戴米 Jonathan Demme,朱迪·福斯特 Jodie Foster / 安...,1991,美国,8.9,988321人评价,"剧情, 犯罪, 惊悚"
小鞋子  / بچه های آسمان,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2165511465.webp,马基德·马基迪 Majid Majidi,默罕默德·阿米尔·纳吉 Mohamma...,1997,伊朗,9.2,451548人评价,"剧情, 儿童, 家庭"
飞越疯人院  / One Flew Over the Cuckoo's Nest,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792238287.webp,米洛斯·福尔曼 Miloš Forman,杰克·尼科尔森 Jack Nichols...,1975,美国,9.1,590602人评价,剧情
布达佩斯大饭店  / The Grand Budapest Hotel,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2183539003.webp,韦斯·安德森 Wes Anderson,拉尔夫·费因斯 Ralph Fiennes / ...,2014,"美国, 德国, 英国",8.9,1054048人评价,"剧情, 喜剧, 冒险"
蝴蝶效应  / The Butterfly Effect,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2209066019.webp,,,,,8.9,1038805人评价,
禁闭岛  / Shutter Island,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p450262388.webp,Martin Scorsese,莱昂纳多·迪卡普里奥 Leonardo DiCaprio / ...,2010,美国,8.9,1083403人评价,"剧情, 悬疑, 惊悚"
致命魔术  / The Prestige,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p480383375.webp,克里斯托弗·诺兰 Christopher Nolan,休·杰克曼 Hugh Jackman...,2006,"英国, 美国",8.9,941865人评价,"剧情, 悬疑, 惊悚"
心灵捕手  / Good Will Hunting,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p480965695.webp,格斯·范·桑特 Gus Van Sant,马特·达蒙 Matt Damon / 罗宾·...,1997,美国,9.0,795097人评价,剧情
低俗小说  / Pulp Fiction,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910902213.webp,昆汀·塔伦蒂诺 Quentin Tarantino,约翰·特拉沃尔塔 John Tra...,1994,美国,8.9,931818人评价,"剧情, 喜剧, 犯罪"
超脱  / Detachment,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1305562621.webp,托尼·凯耶 Tony Kaye,艾德里安·布洛迪 Adrien Brody / 马西...,2011,美国,9.0,699826人评价,剧情
哈利·波特与密室  / Harry Potter and the Chamber of Secrets,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2913781951.webp,Chris Columbus,丹尼尔·雷德克里夫 Daniel Radcliffe / 艾玛...,2002,"英国, 美国",8.9,885695人评价,"奇幻, 冒险"
摩登时代  / Modern Times,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2263408369.webp,查理·卓别林 Charles Chaplin,查理·卓别林 Charles Chaplin ...,1936,美国,9.3,336479人评价,"剧情, 喜剧, 爱情"
喜剧之王  / 喜劇之王,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2579932167.webp,周星驰 Stephen Chow / 李力持 Lik-Chi Lee,周星驰 Stephen Ch...,1999,中国香港,8.8,1066891人评价,"喜剧, 剧情, 爱情"
杀人回忆  / 살인의 추억,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1633113220.webp,奉俊昊 Joon-ho Bong,宋康昊 Kang-ho Song / 金相庆 Sang-kyun...,2003,韩国,8.9,811679人评价,"剧情, 动作, 犯罪, 悬疑, 惊悚"
致命ID  / Identity,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2558364386.webp,詹姆斯·曼高德 James Mangold,约翰·库萨克 John Cusack / 雷...,2003,美国,8.9,921267人评价,"剧情, 悬疑, 惊悚"
春光乍泄  / 春光乍洩,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p465939041.webp,王家卫 Kar Wai Wong,张国荣 Leslie Cheung / 梁朝伟 Tony Leu...,1997,"中国香港, 日本, 韩国",9.0,694503人评价,"剧情, 爱情, 同性"
一一,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2567845803.webp,杨德昌 Edward Yang,吴念真 / 李凯莉 Kelly Lee / 金燕玲 Elai...,2000,"中国台湾, 日本",9.1,475386人评价,"剧情, 爱情, 家庭"
海豚湾  / The Cove,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2559579779.webp,路易·西霍尤斯 Louie Psihoyos,路易·西霍尤斯 Louie Psihoyo...,2009,美国,9.3,377095人评价,纪录片
